书名,出版信息,当前价格,星级,评论数
 机器学习 击败AlphaGo的武林秘籍，赢得人机大战的必由之路：人工智能大牛周志华教授巨著，全面揭开机器学习的奥秘,周志华 /2016-01-01  /清华大学出版社,?66.00,width: 90%;,76149条评论
 机器学习实战【python基础教程指南，python核心编程实例指导，对wxpython数据库充分的讲解，不可错过的编 【图灵程序设计丛书】人工智能开发图书 深度学习实践应用 利用Python阐述机器学习算法 配合日常用例 强劲实战导向 程序员人手常备,[美]哈林顿 /2013-06-01  /人民邮电出版社,?46.30,width: 90%;,25256条评论
 机器学习实战：基于Scikit-Learn和TensorFlow 被称为机器学习图书*强的存在！前谷歌工程师撰写，“美亚”人工智能图书畅销榜首图书！从实践出发，手把手教你从零开始搭建起一个神经网络。,（法）奥雷利安?杰龙（Aurélien Géron） /2018-08-27  /机械工业出版社,?83.30,width: 90%;,5759条评论
 机器学习理论导引 ,周志华 王魏 高尉 张利军 /2020-05-30  /机械工业出版社,?62.30,width: 100%;,783条评论
 机器学习――原理、算法与应用 全书深入浅出，兼具广度与深度，帮助读者真正掌握机器学习、深度学习的原理与应用,雷明 /2019-09-01  /清华大学出版社,?39.60,width: 90%;,1184条评论
 深度学习 人工智能算法，机器学习奠基之作，AI圣经 AI圣经 deep learning中文版 2018年图灵奖获奖者作品 业内人称“花书” 人工智能机器学习深度学习领域奠基性经典畅销书,[美]Ian Goodfellow（伊恩?古德费洛）、[ /2017-07-01  /人民邮电出版社,?112.60,width: 80%;,55536条评论
 机器学习中的数学 人工智能深度学习技术丛书 一本有趣、好学的机器学习数学基础知识书籍。300+插图，100+示例，50+公式推导，讲故事与实例相结合，学习不枯燥，赠送全书源代码。,孙博 编著 /2019-11-01  /水利水电出版社,?44.50,width: 100%;,1986条评论
 白话机器学习的数学 ,[日]立石贤吾 /2020-06-01  /人民邮电出版社,?41.50,width: 100%;,136条评论
 机器学习线性代数基础：Python语言描述 线性代数是机器学习的基石，本书从5个维度+60段代码+53幅图表+2个项目，帮助你理解线性代数与机器学习紧密结合的核心内容，并以Python语言为工具进行数学思想和解决方案的有效实践。,张雨萌 /2019-08-12  /北京大学出版社,?37.90,width: 100%;,1663条评论
 机器学习（决战大数据时代！IT技术人员不得不读！） ,（美）米歇尔（Mitchell，T.M.） 著；曾华军 等译 /2008-03-01  /机械工业出版社,?24.40,width: 90%;,7744条评论
 Python机器学习基础教程 基于Python3的机器学习入门教程 以机器学习算法实践为重点 使用scikit-learn库从头构建机器学习应用 涵盖模型评估调参方法 交差验证网格搜索 管道概念及文本数据处理方法等内容,[德]安德里亚斯?穆勒（Andreas C. Müller）[美]莎拉?吉多（S /2018-01-01  /人民邮电出版社,?55.70,width: 90%;,5369条评论
 机器学习 教育部计算机教指委-华为ICT产学结合项目：数据科学与大数据技术专业系列规划教材。机器学习基本方法和各种常用算法，提供Python算法与案例，掌握大数据、人工智能、深度学习常用知识,赵卫东 董亮 /2018-07-01  /人民邮电出版社,?57.30,width: 90%;,506条评论
